"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"136","France honors a great hero. Officer died after bravely swapping places with hostage in ISIS related terror attack.… https://t.co/e1AvHzZxiL",FALSE,83111,NA,2018-03-25 10:10:14,TRUE,NA,"977850135697911808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19615,FALSE,FALSE,NA,NA,2,1,0,3,1,0,1,3,3,2
"137","Our thoughts and prayers are with the victims of the horrible attack in France yesterday, and we grieve the nation’… https://t.co/OrSJZR27tY",FALSE,83052,NA,2018-03-24 16:40:11,TRUE,NA,"977585879651966980",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15747,FALSE,FALSE,NA,NA,2,0,1,3,0,1,0,1,3,0
"138","As a matter of National Security I've signed the Omnibus Spending Bill. I say to Congress: I will NEVER sign anothe… https://t.co/0uoQ7HfCVF",FALSE,71417,NA,2018-03-23 23:01:10,TRUE,NA,"977319371277156352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19328,FALSE,FALSE,NA,NA,0,0,1,0,0,0,0,1,0,0
"139","Obama Administration legalized bump stocks. BAD IDEA. As I promised, today the Department of Justice will issue the… https://t.co/gm8BSGsnKT",FALSE,81898,NA,2018-03-23 20:50:30,TRUE,NA,"977286489410240514",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17107,FALSE,FALSE,NA,NA,2,0,1,2,1,1,0,2,2,2
"140","News conference at the White House concerning the Omnibus Spending Bill.  1:00 P.M.",FALSE,47636,NA,2018-03-23 16:32:58,FALSE,NA,"977221676697079808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9678,FALSE,FALSE,NA,NA,0,1,0,0,1,0,0,1,0,1
"141","I am considering a VETO of the Omnibus Spending Bill based on the fact that the 800,000 plus DACA recipients have b… https://t.co/qhwYMqKLGO",FALSE,155499,NA,2018-03-23 12:55:15,TRUE,NA,"977166887493799936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",37263,FALSE,FALSE,NA,NA,1,0,0,0,0,0,0,1,1,0
"142","DACA was abandoned by the Democrats. Very unfair to them! Would have been tied to desperately needed Wall.",FALSE,73034,NA,2018-03-23 12:26:37,FALSE,NA,"977159683151712258",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16376,FALSE,FALSE,NA,NA,2,0,1,1,0,2,0,0,2,0
"143","House Intelligence Committee votes to release final report. FINDINGS: (1) No evidence provided of Collusion between… https://t.co/TDzrvtLstr",FALSE,77509,NA,2018-03-23 10:07:18,TRUE,NA,"977124622285066240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21067,FALSE,FALSE,NA,NA,1,0,1,2,1,1,0,2,1,1
"144","I am pleased to announce that, effective 4/9/18, @AmbJohnBolton will be my new National Security Advisor. I am very… https://t.co/dlRJSb9xW1",FALSE,96064,NA,2018-03-22 22:26:41,TRUE,NA,"976948306927607810",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24212,FALSE,FALSE,NA,NA,0,0,0,0,1,0,0,1,0,2
"145","My honor Charlie - thank you! #MAGA https://t.co/ZbXFxNVMLP",FALSE,50029,NA,2018-03-22 20:11:30,FALSE,NA,"976914287217258497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10878,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,1,0,1
"146","As a candidate, I pledged that if elected I would use every lawful tool to combat unfair trade, protect American wo… https://t.co/nzeHdbTa5u",FALSE,67742,NA,2018-03-22 18:40:54,TRUE,NA,"976891486510907393",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","realDonaldTrump",15722,FALSE,FALSE,NA,NA,2,0,1,1,0,1,0,2,2,3
"147","Remember when they were saying, during the campaign, that Donald Trump is giving great speeches and drawing big cro… https://t.co/tmNjLRpLXI",FALSE,94729,NA,2018-03-22 10:40:37,TRUE,NA,"976770619424563200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20309,FALSE,FALSE,NA,NA,0,0,0,0,0,0,1,0,0,1
"148","Crazy Joe Biden is trying to act like a tough guy. Actually, he is weak, both mentally and physically, and yet he t… https://t.co/4e33ZxnAw7",FALSE,257804,NA,2018-03-22 10:19:57,TRUE,NA,"976765417908776963",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",75466,FALSE,FALSE,NA,NA,1,0,0,1,0,2,0,0,2,0
"149","Democrats refused to take care of DACA. Would have been so easy, but they just didn’t care. I had to fight for Military and start of Wall.",FALSE,82795,NA,2018-03-22 03:04:47,FALSE,NA,"976655903729610752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18316,FALSE,FALSE,NA,NA,1,1,0,2,0,1,0,0,2,0
